,precision,recall,f1-score,support
abraham_grampa_simpson,0.9975903614457832,1.0,0.9987937273823884,414.0
agnes_skinner,0.9920424403183024,1.0,0.996005326231691,374.0
apu_nahasapeemapetilon,0.9975609756097561,1.0,0.9987789987789988,409.0
barney_gumble,0.9948453608247423,1.0,0.9974160206718347,386.0
bart_simpson,0.9975369458128078,0.9975369458128078,0.9975369458128078,406.0
brandine_spuckler,1.0,1.0,1.0,374.0
carl_carlson,1.0,1.0,1.0,380.0
charles_montgomery_burns,0.9975124378109452,0.9950372208436724,0.9962732919254659,403.0
chief_wiggum,1.0,1.0,1.0,414.0
cletus_spuckler,1.0,1.0,1.0,381.0
comic_book_guy,0.9975062344139651,0.9950248756218906,0.9962640099626402,402.0
disco_stu,1.0,1.0,1.0,376.0
dolph_starbeam,1.0,1.0,1.0,373.0
duff_man,1.0,1.0,1.0,376.0
edna_krabappel,0.9974554707379135,1.0,0.9987261146496815,392.0
fat_tony,1.0,1.0,1.0,371.0
gary_chalmers,1.0,1.0,1.0,380.0
gil,1.0,1.0,1.0,380.0
groundskeeper_willie,1.0,1.0,1.0,376.0
homer_simpson,0.9951690821256038,0.9951690821256038,0.9951690821256038,414.0
jimbo_jones,1.0,1.0,1.0,373.0
kearney_zzyzwicz,1.0,1.0,1.0,376.0
kent_brockman,1.0,1.0,1.0,404.0
krusty_the_clown,1.0,0.9975308641975309,0.9987639060568604,405.0
lenny_leonard,0.9974489795918368,1.0,0.9987228607918263,391.0
lionel_hutz,1.0,1.0,1.0,388.0
lisa_simpson,0.9975550122249389,1.0,0.9987760097919216,408.0
lunchlady_doris,1.0,1.0,1.0,371.0
maggie_simpson,1.0,1.0,1.0,383.0
marge_simpson,1.0,1.0,1.0,405.0
martin_prince,1.0,1.0,1.0,378.0
mayor_quimby,1.0,1.0,1.0,386.0
milhouse_van_houten,1.0,1.0,1.0,414.0
miss_hoover,1.0,1.0,1.0,377.0
moe_szyslak,1.0,0.9877149877149877,0.9938195302843016,407.0
ned_flanders,0.9975429975429976,0.9975429975429976,0.9975429975429976,407.0
nelson_muntz,1.0,0.9948586118251928,0.9974226804123711,389.0
otto_mann,1.0,1.0,1.0,372.0
patty_bouvier,1.0,1.0,1.0,376.0
principal_skinner,0.9975186104218362,0.9975186104218362,0.9975186104218362,403.0
professor_john_frink,1.0,1.0,1.0,375.0
rainier_wolfcastle,1.0,1.0,1.0,381.0
ralph_wiggum,1.0,1.0,1.0,373.0
selma_bouvier,1.0,1.0,1.0,376.0
sideshow_bob,0.9975903614457832,1.0,0.9987937273823884,414.0
sideshow_mel,1.0,1.0,1.0,375.0
snake_jailbird,1.0,1.0,1.0,374.0
timothy_lovejoy,1.0,0.9973190348525469,0.9986577181208054,373.0
troy_mcclure,1.0,1.0,1.0,379.0
waylon_smithers,1.0,1.0,1.0,393.0
accuracy,0.9990724996135415,0.9990724996135415,0.9990724996135415,0.9990724996135415
macro avg,0.9990975054065442,0.9991050646191815,0.9990996311669283,19407.0
weighted avg,0.9990747668093247,0.9990724996135415,0.9990719447230252,19407.0
